iter	Passed	Remaining
732	11748	68392
733	11759	68344
734	11768	68288
735	11777	68231
736	11786	68176
737	11796	68123
738	11805	68071
739	11814	68015
740	11824	67960
741	11835	67918
742	11850	67897
743	11863	67865
744	11873	67815
745	11885	67777
746	11899	67747
747	11913	67722
748	11926	67687
749	11938	67653
750	11954	67635
751	11968	67611
752	11983	67588
753	11998	67566
754	12012	67540
755	12023	67495
756	12036	67465
757	12048	67426
758	12061	67395
759	12076	67376
760	12093	67362
761	12108	67342
762	12124	67326
763	12139	67306
764	12151	67271
765	12162	67228
766	12173	67186
767	12186	67150
768	12209	67175
769	12228	67177
770	12246	67173
771	12285	67283
772	12302	67274
773	12318	67256
774	12343	67292
775	12372	67347
776	12392	67355
777	12416	67379
778	12432	67362
779	12447	67346
780	12467	67347
781	12493	67388
782	12522	67442
783	12552	67502
784	12569	67489
785	12599	67550
786	12621	67567
787	12649	67611
788	12676	67657
789	12703	67698
790	12732	67751
791	12755	67772
792	12772	67759
793	12795	67781
794	12815	67782
795	12832	67774
796	12852	67779
797	12867	67757
798	12894	67796
799	12910	67779
800	12929	67778
801	12950	67790
802	12968	67783
803	12994	67818
804	13016	67829
805	13036	67834
806	13054	67827
807	13068	67802
808	13080	67763
809	13090	67717
810	13103	67680
811	13120	67672
812	13144	67696
813	13166	67708
814	13185	67706
815	13221	67790
816	13242	67798
817	13264	67816
818	13287	67834
819	13314	67869
820	13337	67892
821	13363	67921
822	13392	67971
823	13425	68039
824	13440	68015
825	13454	67990
826	13472	67981
827	13486	67953
828	13497	67910
829	13509	67874
830	13522	67842
831	13533	67796
832	13543	67750
833	13554	67706
834	13564	67661
835	13575	67616
836	13586	67573
837	13595	67524
838	13605	67475
839	13615	67427
840	13625	67380
841	13634	67332
842	13645	67287
843	13655	67244
844	13665	67194
845	13674	67145
846	13684	67099
847	13694	67051
848	13704	67002
849	13714	66957
850	13724	66912
851	13733	66862
852	13742	66812
853	13752	66765
854	13762	66718
855	13771	66671
856	13784	66637
857	13806	66653
858	13826	66652
859	13847	66660
860	13871	66685
861	13894	66698
862	13925	66753
863	13956	66810
864	13974	66801
865	13990	66784
866	14011	66791
867	14043	66850
868	14058	66830
869	14076	66821
870	14098	66832
871	14117	66833
872	14152	66901
873	14180	66941
874	14208	66982
875	14230	66995
876	14248	66984
877	14266	66975
878	14279	66948
879	14289	66899
880	14299	66855
881	14308	66805
882	14318	66759
883	14328	66717
884	14337	66665
885	14349	66628
886	14359	66586
887	14369	66540
888	14379	66494
889	14391	66460
890	14402	66420
891	14412	66374
892	14421	66327
893	14433	66292
894	14449	66272
895	14461	66239
896	14471	66195
897	14483	66158
898	14494	66119
899	14503	66073
900	14513	66026
901	14523	65981
902	14532	65936
903	14542	65889
904	14551	65845
905	14561	65801
906	14571	65755
907	14581	65712
908	14591	65669
909	14600	65621
